cisp;area_atuacao_dk;area_atuacao_dscr
9;23;Especializadas - Rio de Janeiro
10;23;Especializadas - Rio de Janeiro
12;23;Especializadas - Rio de Janeiro
13;23;Especializadas - Rio de Janeiro
6;23;Especializadas - Rio de Janeiro
17;23;Especializadas - Rio de Janeiro
1;23;Especializadas - Rio de Janeiro
4;23;Especializadas - Rio de Janeiro
5;23;Especializadas - Rio de Janeiro
7;23;Especializadas - Rio de Janeiro
23;23;Especializadas - Rio de Janeiro
24;23;Especializadas - Rio de Janeiro
25;23;Especializadas - Rio de Janeiro
26;23;Especializadas - Rio de Janeiro
44;23;Especializadas - Rio de Janeiro
18;23;Especializadas - Rio de Janeiro
19;23;Especializadas - Rio de Janeiro
20;23;Especializadas - Rio de Janeiro
37;23;Especializadas - Rio de Janeiro
21;23;Especializadas - Rio de Janeiro
22;23;Especializadas - Rio de Janeiro
38;23;Especializadas - Rio de Janeiro
27;23;Especializadas - Rio de Janeiro
31;23;Especializadas - Rio de Janeiro
39;23;Especializadas - Rio de Janeiro
11;23;Especializadas - Rio de Janeiro
14;23;Especializadas - Rio de Janeiro
15;23;Especializadas - Rio de Janeiro
29;23;Especializadas - Rio de Janeiro
30;23;Especializadas - Rio de Janeiro
40;23;Especializadas - Rio de Janeiro
16;23;Especializadas - Rio de Janeiro
42;23;Especializadas - Rio de Janeiro
28;23;Especializadas - Rio de Janeiro
32;23;Especializadas - Rio de Janeiro
41;23;Especializadas - Rio de Janeiro
33;23;Especializadas - Rio de Janeiro
34;23;Especializadas - Rio de Janeiro
35;23;Especializadas - Rio de Janeiro
36;23;Especializadas - Rio de Janeiro
43;23;Especializadas - Rio de Janeiro
72;25;Especializadas - Niterói/São Gonçalo
73;25;Especializadas - Niterói/São Gonçalo
74;25;Especializadas - Niterói/São Gonçalo
75;25;Especializadas - Niterói/São Gonçalo
76;25;Especializadas - Niterói/São Gonçalo
77;25;Especializadas - Niterói/São Gonçalo
78;25;Especializadas - Niterói/São Gonçalo
79;25;Especializadas - Niterói/São Gonçalo
81;25;Especializadas - Niterói/São Gonçalo
59;27;Especializadas - Duque de Caxias/Nova Iguaçu
60;27;Especializadas - Duque de Caxias/Nova Iguaçu
61;27;Especializadas - Duque de Caxias/Nova Iguaçu
62;27;Especializadas - Duque de Caxias/Nova Iguaçu
64;27;Especializadas - Duque de Caxias/Nova Iguaçu
54;27;Especializadas - Duque de Caxias/Nova Iguaçu
52;27;Especializadas - Duque de Caxias/Nova Iguaçu
53;27;Especializadas - Duque de Caxias/Nova Iguaçu
56;27;Especializadas - Duque de Caxias/Nova Iguaçu
57;27;Especializadas - Duque de Caxias/Nova Iguaçu
58;27;Especializadas - Duque de Caxias/Nova Iguaçu
55;27;Especializadas - Duque de Caxias/Nova Iguaçu
